source,trajectory_id,llm,agent_role,critical_failure_step,critical_failure_module,raw_failure_type,proposed_cluster,proposed_cluster_label,proposed_level,failure_reasoning_text,review_status,review_original_cluster,review_reason
WhoAndWhen-AlgorithmGenerated,WW-AG-ecbc4f94-95a3-4cc7-b255-6741a458a625,,DataExtraction_Expert,1,,,DROP,Annotation insufficient to classify,review,The code provided by DataExtraction_Expert is incorrect. Executing the code did not yield the correct information.,changed,N2,Annotator reasoning is outcome-only ('code did not yield correct information'); step content truncated before code is visible. Mechanism cannot be confirmed. Too thin to classify.
WhoAndWhen-AlgorithmGenerated,WW-AG-99c9cc74-fdc8-46c6-8f8d-3ce2d3bfeea3,,Culinary_Expert,3,,,DROP,Annotation insufficient to classify,review,The Culinary_Expert incorrectly included 'salt' as an ingredient and misinterpreted 'fresh strawberries' as 'ripe strawberries' from the transcription.,changed,N1,Annotator reasoning contains a factual error (claims fresh→ripe misinterpretation that did not occur). Salt error originated in prior transcription step (step 2). Attribution is to wrong step; annotation not reliable enough to classify.
WhoAndWhen-AlgorithmGenerated,WW-AG-87c610df-bef7-4932-b950-1d83ef4e282b,,BiblicalScholar_Expert,1,,,P2,Progress misassessment,process,The agent made an error in identifying the first place mentioned by name in the Book of Esther (NIV). It incorrectly identified 'Susa' as the first place mentioned.,changed,N1,"Agent quoted NIV text containing 'India to Cush' (verse 1) before 'Susa' (verse 2) and still concluded Susa was first. Wrong conclusion drawn from correctly retrieved text — misinterpretation of available information (P2), not fabrication (N1)."
WhoAndWhen-AlgorithmGenerated,WW-AG-7a4a336d-dcfa-45a0-b014-824c7619e8de,,DataVerification_Expert,1,,,N4,Wrong tool selection,node,Using YouTube tools is more appropriate.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,,Excel_Expert,0,,,FLAG,Requires further review,review,"The code failed to handle edge cases in the 'Street Address' data, leading to an incomplete and inaccurate count of even-numbered addresses.",changed,N2,Critical failure step is step 0 (task delivery/manager prompt). N2 cannot apply to non-execution step.
WhoAndWhen-AlgorithmGenerated,WW-AG-08c0b6e9-1b43-4c2e-ae55-4e3fce2c2715,,FilmCritic_Expert,4,,,DROP,Annotation insufficient to classify,review,The experts provide factual inaccuracies.,changed,N1,Outcome-only reasoning: 'The experts provide factual inaccuracies.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-076c8171-9b3b-49b9-a477-244d2a532826,,DataAnalysis_Expert,3,,,N2,Code implementation bug,node,The code is incorrect because it attempts to extract columns that do not exist.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-8e867cd7-cff9-4e6c-867a-ff5ddc2550be,,InformationVerification_Expert,6,,,P3,Cascading error (explicit propagation),process,"The agent wrote incorrect code twice, exhausting the interaction limits.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-c714ab3a-da30-4603-bacd-d008800188b9,,Behavioral_Expert,1,,,P4,Constraint ignorance / unchecked assumption,process,"The agent made a logical error in reasoning about scenario 2. If there is at least one vampire, then the statement 'At least one of us is a human,' made by vampires, would be true and would lead to a contradiction.",changed,N1,"Self-contained vampire/human logic puzzle; agent did not fabricate any fact. Failure is applying the logical contradiction constraint incorrectly (vampires cannot truthfully say 'at least one of us is a human'). Constraint ignorance (P4), not hallucination (N1)."
WhoAndWhen-AlgorithmGenerated,WW-AG-9d191bce-651d-4746-be2d-7ef8ecadb9c2,,VideoContentAnalysis_Expert,1,,,DROP,Annotation insufficient to classify,review,The code is wrong,changed,N2,Outcome-only reasoning: 'The code is wrong.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-cf106601-ab4f-4af9-b045-5295fe67b37d,,Verification_Expert,2,,,P1,Improper task decomposition / bad plan,process,The agent starts by generating a simulated dataset and then processes the data to identify the country with the least number of athletes. It should search the web for real historical data.,changed,N4,"Critical step is a planning step (step 2) where the agent decides to use a simulated dataset instead of retrieving real 1928 Olympic data. Failure is at the planning layer (P1: plan to fabricate data instead of retrieve), not at the action layer selecting the wrong tool (N4)."
WhoAndWhen-AlgorithmGenerated,WW-AG-c8b7e059-c60d-472e-ad64-3b04ae1166dc,,Federico_Lauria_Expert,5,,,P1,Improper task decomposition / bad plan,process,"The agent should use Python to obtain the website content and extract the chapter numbers quoted in the titles of the paintings. Instead, it is suggested to manually extract the chapter numbers from the painting titles.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-0e9e85b8-52b9-4de4-b402-5f635ab9631f,,DataVerification_Expert,8,,,N2,Code implementation bug,node,"The code provided by DataVerification_Expert is not working, resulting in the failure of execution.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-a7feb290-76bb-4cb7-8800-7edaf7954f2f,,Verification_Expert,1,,,DROP,Annotation insufficient to classify,review,The Verification_Expert provided incorrect code to solve the task.,changed,N2,"Thin reasoning ('provided incorrect code'); critical step shows only a plan outline with no code written or executed. Outcome-only, no mechanism."
WhoAndWhen-AlgorithmGenerated,WW-AG-04a04a9b-226c-43fd-b319-d5e89743676f,,PublicationData_Expert,1,,,P4,Constraint ignorance / unchecked assumption,process,"The agent makes an incorrect assumption that the total number of articles is 1,000. However, the exact number of articles published by Nature in 2020 is not provided in the question. The agent should have used the exact number of articles to accurately calculate the number of incorrect papers.",changed,N1,"Agent explicitly stated it was 'assuming' 1,000 articles per month when that figure was not provided. An acknowledged assumption that proceeds without verification is P4 (constraint ignorance / unchecked assumption), not N1 fabrication."
WhoAndWhen-AlgorithmGenerated,WW-AG-05407167-39ec-4d3a-a234-73a9120c325d,,VideoContentAnalysis_Expert,1,,,DROP,Annotation insufficient to classify,review,The code is incorrect for the task.,changed,N2,Outcome-only reasoning: 'The code is incorrect for the task.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-4b6bb5f7-f634-410e-815d-e673ab7f8632,,VideoAnalysis_Expert,1,,,N1,Hallucination / factual fabrication,node,"The expert provided the setting as 'INT. CASTLE BEDROOM' instead of the correct setting, 'THE CASTLE.'",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-65da0822-a48a-4a68-bbad-8ed1b835a834,,PythonDebugging_Expert,0,,,P1,Improper task decomposition / bad plan,process,"The task description and focus were unrelated to the actual question of identifying cities based on university locations. The debugging effort focused on an irrelevant issue, diverting attention from solving the actual task.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,,Validation_Expert,2,,,N4,Wrong tool selection,node,"The expert should not use OCR, and analyzing data is not the responsibility of the Validation_Expert, leading to the exhaustion of step limits.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-6359a0b1-8f7b-499b-9336-840f9ab90688,,Geometry_Expert,6,,,P4,Constraint ignorance / unchecked assumption,process,The agent incorrectly assumed the polygon to be a regular hexagon.,changed,N1,"Agent explicitly stated it was proceeding with an assumption (regular hexagon) after OCR tool failure. Unverified assumption accepted without checking — P4, not N1 fabrication."
WhoAndWhen-AlgorithmGenerated,WW-AG-c61d22de-5f6c-4958-a7f6-5e9707bd3466,,ModelEvaluation_Interpretation_Expert,4,,,N5,Malformed tool parameters,node,"The agent begins using placeholder values in the code, which results in failure.",changed,N1,"Agent used placeholder arXiv ID 'arXiv:2206.' — right approach (manual specification), wrong/incomplete argument. N5 pattern matching WW-AG-0512426f (example_video_id)."
WhoAndWhen-AlgorithmGenerated,WW-AG-b4cc024b-3f5e-480e-b96a-6656493255b5,,MilitaryHistory_Expert,1,,,P1,Improper task decomposition / bad plan,process,"The code provided by MilitaryHistory_Expert is unreasonable, as it is overly hasty. He should investigate step by step instead of attempting to find the solution all at once.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-ad2b4d70-9314-4fe6-bfbe-894a45f6055f,,WebDevelopment_Expert,1,,,DROP,Annotation insufficient to classify,review,The code provided by WebDevelopment_Expert is incorrect.,changed,N2,Outcome-only reasoning: 'The code provided by WebDevelopment_Expert is incorrect.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-853c8244-429e-46ca-89f2-addf40dfb2bd,,ArtHistory_Expert,4,,,N1,Hallucination / factual fabrication,node,The agent fabricates the content of the website and does not actually verify its contents.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-b9763138-c053-4832-9f55-86200cb1f99c,,ISBNCheckDigit_Expert,0,,,FLAG,Requires further review,review,The code is incorrect for the task.,changed,N2,Critical failure step is step 0 (task delivery/manager prompt). N2 cannot apply to non-execution step.
WhoAndWhen-AlgorithmGenerated,WW-AG-d5141ca5-e7a0-469f-bf3e-e773507c86e2,,WebServing_Expert,3,,,DROP,Annotation insufficient to classify,review,The answer provided by WebServing_Expert was incorrect.,changed,N1,Outcome-only reasoning: 'The answer provided by WebServing_Expert was incorrect.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-32102e3e-d12a-4209-9163-7b3a104efe5d,,Blu-Ray_Expert,8,,,N2,Code implementation bug,node,"The agent made a mistake in handling the NaN values in the 'Platform' column by dropping all NaN values from the DataFrame. As a result, entries with missing 'Platform' values were removed, leading the code to incorrectly report that no Blu-Ray entries were found in the inventory.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-c365c1c7-a3db-4d5e-a9a1-66f56eae7865,,Verification_Expert,3,,,P2,Progress misassessment,process,"The expert made a factual error. The execution result is Braintree, Massachusetts, and Honolulu, Hawaii, rather than Honolulu, Hawaii, and Quincy, Massachusetts.",changed,N1,"Agent misread Computer_terminal output (Braintree → Quincy). Canonical P2: misinterpretation of actual tool output, not fabrication."
WhoAndWhen-AlgorithmGenerated,WW-AG-f46b4380-207e-4434-820b-f32ce04ae2a4,,Music_Critic_Expert,1,,,N1,Hallucination / factual fabrication,node,"According to the answer, the album Tidal by Fiona Apple did not receive a letter grade from Robert Christgau. However, the Music_Critic_Expert stated that the album Tidal received a grade of B from him.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-df6561b2-7ee5-4540-baab-5095f742716a,,Verification_Expert,4,,,P4,Constraint ignorance / unchecked assumption,process,"To answer the question, the agent should not make any assumptions.",changed,P2,"Agent knowingly substituted simulated pixel values for required real image data it could not access, explicitly acknowledging the limitation before proceeding. Deliberate constraint bypass under acknowledged inability = P4, not P2 (false task-completion claim)."
WhoAndWhen-AlgorithmGenerated,WW-AG-54612da3-fd56-4941-80f4-5eb82330de25,,Locomotive_Expert,4,,,N2,Code bug — runs but wrong output,node,"The agent made a mistake in calculating the total number of wheels for the steam locomotives. The Whyte notation directly represents the number of leading, driving, and trailing wheels on one side of the locomotive. Therefore, the total number of wheels is simply the sum of these numbers, not the sum multiplied by 2.",changed,N1,Agent wrote Python code that applies wrong multiplication logic to Whyte notation. Code ran (exitcode 0) but returned wrong wheel count. N2 not N1.
WhoAndWhen-AlgorithmGenerated,WW-AG-8f80e01c-1296-4371-9486-bb3d68651a60,,MusicTheory_Expert,5,,,P2,Progress misassessment,process,The expert fails to view the image and hallucinates the notes.,changed,N1,"Prior step: Computer_terminal code output was empty (image not displayed). Agent claimed 'now that the image has been displayed' and proceeded. Claimed completed work it had not done — P2, not N1."
WhoAndWhen-AlgorithmGenerated,WW-AG-65afbc8a-89ca-4ad5-8d62-355bb401f61d,,AlgorithmDesign_Expert,4,,,N4,Wrong tool selection,node,"The agent writes code using pandas, which cannot handle the color data in the Excel file. As a result, the code fails to retrieve the color information from the final position.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-0b260a57-3f3a-4405-9f29-6d7a1012dbfb,,Data_Collection_Expert,1,,,N1,Hallucination / factual fabrication,node,"The data provided by the Data_Collection_Expert for the reference works in Life Science and Health Sciences is incorrect or hypothetical, leading to an incorrect calculation of standard deviations and their difference.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-1dcc160f-c187-48c2-b68e-319bd4354f3d,,DataExtraction_Expert,1,,,N2,Code bug — runs but wrong output,node,"The expert wrote code with bugs multiple times, leading to the exhaustion of the step limits.",changed,P3,"Critical failure is step 1: Selenium code uses a placeholder '/path/to/chromedriver' that does not exist. This is the origin bug — buggy executable code (N2), not a cascade from a prior error (P3)."
WhoAndWhen-AlgorithmGenerated,WW-AG-23dd907f-1261-4488-b21c-e9185af91d5e,,Poetry_Expert,7,,,N1,Hallucination / factual fabrication,node,The agent begins providing the full text of the poem without retrieving the text and formatting from websites.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-305ac316-eef6-4446-960a-92d80d542f82,,Polish_TV_Series_Expert,2,,,N1,Hallucination / factual fabrication,node,The agent provide the wrong name of the actor,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-f2feb6a4-363c-4c09-a804-0db564eafd68,,HawaiiRealEstate_Expert,2,,,N1,Hallucination / fabricated fact,node,"The price provided by HawaiiRealEstate_Expert is incorrect, causing the error to propagate through subsequent steps to the final output.",changed,P3,"At step 2, HawaiiRealEstate_Expert fabricated specific property prices ('$850,000', '$1.2M') with no retrieval tool invoked. This is the origin fabrication (N1), not a cascade from a prior step (P3)."
WhoAndWhen-AlgorithmGenerated,WW-AG-0bdb7c40-671d-4ad1-9ce3-986b159c0ddc,,PythonDebugging_Expert,0,,,DROP,Annotation insufficient to classify,review,The experts incorrectly present the problems.,changed,P1,Outcome-only reasoning: 'The experts incorrectly present the problems.' No mechanism described.
WhoAndWhen-AlgorithmGenerated,WW-AG-e8cb5b03-41e0-4086-99e5-f6806cd97211,,WaybackMachine_Expert,1,,,N2,Code implementation bug,node,The code provided by WaybackMachine_Expert is not reasonable.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-a26649c6-1cb2-470a-871e-6910c64c3e53,,Data_Retrieval_Expert,1,,,N2,Code implementation bug,node,"The expert didn't import the necessary tables, leading to the exhaustion of the step limits.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,,Culinary_Awards_Expert,2,,,P1,Improper task decomposition / bad plan,process,The agent is approaching the task in the wrong direction. It failed to locate the restaurant's name.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-851e570a-e3de-4d84-bcfa-cc85578baa59,,Boggle_Board_Expert,6,,,N2,Code implementation bug,node,The DFS algorithm is not correctly exploring the possible words on the Boggle board.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-65638e28-7f37-4fa7-b7b9-8c19bb609879,,Neurology_Expert,9,,,P1,Improper task decomposition / bad plan,process,"The expert should not suggest manual inspection. Instead, they should use relevant tools or methods to extract the required information. Additionally, too many incorrect codes are being suggested.",changed,P3,"After successful data retrieval at step 8, agent at step 9 abandoned automated parsing and suggested manual inspection instead. Origin failure is a bad plan at step 9 (P1: plan defers to manual action when automation is available), not a cascade from an earlier error (P3)."
WhoAndWhen-AlgorithmGenerated,WW-AG-4fc2f1ae-8625-45b5-ab34-ad4433bc21f8,,WikipediaHistory_Expert,2,,,N2,Code implementation bug,node,The code provided by WikipediaHistory_Expert is incorrect and does not return any useful results.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-a56f1527-3abf-41d6-91f8-7296d6336c3f,,DataVerification_Expert,5,,,P2,Progress misassessment,process,The expert doesn't take any action to analyze the image but directly reaches the conclusion that the background is the Eiffel Tower.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,,GIS_DataAnalysis_Expert,1,,,P2,Progress misassessment,process,GIS_DataAnalysis_Expert did not directly access the USGS database to verify the ZIP codes. The expert should have independently verified the ZIP codes using the USGS database to ensure the accuracy of the findings.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-3cef3a44-215e-4aed-8e3b-b1e3f08063b7,,Debugging_Problem_Solving_Expert,0,,,P1,Improper task decomposition / bad plan,process,"The task description is not well aligned with the question, causing the subsequent steps to deviate from the correct direction and leading to an inaccurate or irrelevant resolution.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-d0633230-7067-47a9-9dbf-ee11e0a2cdd6,,Verification_Expert,1,,,N1,Hallucination / factual fabrication,node,"The expert incorrectly identified BaseBagging as the predictor base command that received a bug fix, when, according to the ground truth, it should have been BaseLabelPropagation.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-6b078778-0b90-464d-83f6-59511c811b01,,Church_Historian_Expert,3,,,N2,Code implementation bug,node,The code is incorrect because it does not import the necessary Python packages.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-5188369a-3bbe-43d8-8b94-11558f909a08,,MerriamWebsterWordOfTheDay_Historian_Expert,4,,,N2,Code implementation bug,node,The code provided by MerriamWebsterWordOfTheDay_Historian_Expert is incorrect. Executing the code did not return the correct information.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,,Research_Expert,2,,,P2,Progress misassessment,process,"The expert provided incorrect text in the in-line citation, leading to an error in the comparison. The correct word in the citation that does not match is 'cloak.'",changed,N1,Agent claimed 'I have successfully retrieved the article' then provided wrong text attributed to that retrieval. Misinterpretation of claimed-retrieved content — P2 (reflection.outcome_misinterpretation).
WhoAndWhen-AlgorithmGenerated,WW-AG-e142056d-56ab-4352-b091-b56054bd1359,,GameTheory_Expert,1,,,P4,Constraint ignorance / unchecked assumption,process,"The calculation incorrectly assumes that Bob's guesses will always match the number of coins in each box, guaranteeing maximum winnings of $30,000. The task specifically asks for the minimum amount Bob can win under an optimal strategy, which requires considering the worst-case scenario.",changed,N1,"Task asked for the strategy that guarantees the minimum number of weighings (minimax). Agent solved for the maximum outcome rather than the minimum guarantee, ignoring the 'guarantee' constraint. No facts fabricated — constraint ignorance (P4), not hallucination (N1)."
WhoAndWhen-AlgorithmGenerated,WW-AG-71345b0a-9c7d-4b50-b2bf-937ec5879845,,WebServing_Expert,8,,,N4,Wrong tool selection,node,"The agent should review the page history of the Wikipedia article to obtain the information. Instead, it initiated a search on Bing.",kept,,
